tes. ipca+  2045;tes. prefixado jur. sem. 2033;tes. prefixado 2029;tes. prefixado jur. sem. 2055;tes. selic 01/09/2027;PETR16;RUMOA2;CTEE29;CESPA2;ENGIA1
0.993886811;0.998649406;0.986898834;0.993994278;1.000505026;0.999647699;0.997289314;0.994499162;0.996016884;0.996231801
1.002644394;1.006333317;1.004509166;1.002951492;1.000643808;1.001839036;1.001920355;1.003680266;1.003269641;1.000693542
0.994029055;1.004434504;0.994124922;0.991912293;1.000570825;0.999064404;0.9978148;0.993722366;0.996114467;0.998015959
0.996379792;0.994055434;1.004959118;0.996040912;1.000510036;0.998078385;1.001960671;0.997010934;0.998398462;0.996623206
0.996708676;1.001201278;0.996377777;0.996300073;1.000510024;1.000110789;0.999714674;1.000683804;0.998637281;0.998933448
0.999306727;1.00554888;0.998184741;0.999241292;1.000559623;0.99956053;0.997254491;0.998899845;0.996428266;0.999368611
1.001466013;0.998343725;1.000116049;1.001585351;1.000448246;1.001521746;1.002111656;1.005541885;1.003212783;1.001155816
1.002149845;1.004382762;1.006798731;1.002197615;1.000686121;1.003958618;1.003056338;1.00243521;1.003098898;1.002116646
1.000993399;0.99368884;1.001831661;1.002335091;1.000674909;0.998871842;0.999879781;0.999857764;1.000182873;0.999732895
0.995729371;0.999460804;0.995586065;0.994399202;1.00090651;0.998477339;0.996896677;0.995369881;0.997311565;0.999175629
0.998928562;0.996916574;0.999832173;0.998309867;1.001086244;0.999755355;0.998057143;0.999407561;1.005096157;0.999611928
1.000702359;0.99764588;1.005612202;1.000940639;1.001350522;1.000922564;1.000395707;1.003713258;1.000730876;1.000155386
0.996115203;0.993192334;0.998081416;0.996331961;1.001410194;0.99919549;0.998120107;0.995105017;0.997629438;0.998520249
1.004506367;0.979192377;1.002203615;1.004008114;1.000594305;1.003918026;1.001356284;1.002926555;1.001106883;1.002158589
0.998920696;0.989591359;0.996845789;0.998961566;1.000308915;0.996964219;0.999422221;0.997139138;0.999932889;0.999347607
1.002041443;1.011471658;0.999642119;1.00204111;1.000308907;1.000448629;1.000125512;1.0008727;1.000593372;1.001083864
0.998878479;0.995541406;0.997359207;0.998572487;1.000259482;0.999269527;0.998057971;0.998205356;0.998899644;0.999320325
0.99948504;0.998107113;0.997474522;0.997609224;1.000182804;0.999465058;0.998625541;0.999677591;0.998658942;0.999358886
0.996475692;0.983596405;0.994138629;0.995690493;1.000112136;0.997692001;0.997018112;0.997402849;0.997000731;0.997176029
0.994177091;1.011600997;0.983802489;0.993241123;1.000286636;0.999152406;0.997429751;0.995129783;0.996305216;0.99897092
0.995799686;0.998257518;0.991717852;0.994893759;1.000419847;0.999584959;0.99783947;0.998949717;0.998592463;0.999754755
1.005815618;1.00483119;1.008754593;1.005010221;1.000254329;1.003470031;1.00481042;1.006682563;1.005796502;1.003651465
1.000169891;1.014214165;0.995907684;1.001666926;1.000151348;1.000467646;0.999727473;1.000514688;1.000541066;0.999681508
0.998379746;0.999431178;0.999179749;0.997034073;1.00028355;1.001638747;1.001223897;1.000553288;1.000603332;1.000971569
0.99439236;1.003201618;0.986802186;0.99414771;1.000272429;0.998945003;0.997930807;0.99707217;0.997011266;0.999496865
1.002307458;1.001221627;1.009984905;1.00215787;1.000364314;1.001795819;1.003534483;1.002814876;1.004208131;1.003272569
1.001544663;1.015630127;1.000583108;1.001743685;1.000381481;0.9998385;1.000567432;1.001574082;1.000481728;0.999473669
1.004039197;1.007154107;1.004188;1.004395446;1.00040875;1.004013369;1.003775799;1.00377033;1.000951958;1.003031974
1.008459632;1.005641964;1.010553275;1.009891115;1.00042224;1.003830061;1.004019354;1.006338451;1.005491032;1.0010118
0.999793261;1.004146148;0.997618722;0.999450095;1.00036871;0.999925014;1.000205683;1.000925373;1.004378654;1.001186468
1.004810629;0.994294384;1.004564814;1.005299916;1.000492944;1.003877096;1.004063907;1.004227512;1.001947503;1.002165716
1.005919062;1.006772182;1.000641007;1.007002629;1.000499001;1.002954076;1.003046671;1.002746407;1.005824102;1.004392494
1.020652963;1.016041989;1.012906466;1.022723705;1.000541416;1.009379286;1.011804726;1.016636216;1.011540223;1.009508632
1.009010785;1.009237532;1.006592771;1.010011488;1.000357612;1.004532691;1.006978672;1.007838074;1.005854243;1.005921492
0.997186165;0.989814855;1.005359787;0.996983285;1.000406082;1.000993297;1.000223922;0.99990373;0.999283009;1.000474438
0.998131375;0.994209734;1.001974535;0.998807419;1.00044446;0.998629834;0.998564669;0.998152811;0.999310324;0.998883386
0.996151114;0.992768819;0.996693304;0.995223542;1.000450519;0.997909714;0.998852456;0.996967844;0.998189153;0.996799574
1.001706288;0.989296726;1.005620708;1.001367097;1.0004384;1.00075149;0.999626835;1.003781546;1.000303199;1.000176352
